Bank,lat,long
Acklins,22.52812,74.11246
Anguilla,18.22436,63.04071
Antigua,17.07746,61.80314
Aruba,12.50371,69.9716
Barbados,13.15522,59.5563
Bermuda,32.3239,64.76067
Blanquilla,11.84663,64.59675
Bonaire,12.18093,68.25396
Caicos,21.58653,71.86209
Cay Sal,23.79105,80.00664
Cayman Brac,19.7191,79.8008
Cuba,21.94998,78.83791
Curacao,12.17869,68.98785
Desecheo,18.38428,67.48054
Dominica,15.42952,61.34085
Grand Cayman,19.32218,81.24088
Great Bahama,24.12046,77.29679
Grenada,12.10397,61.67935
Guadeloupe,16.22373,61.57554
Hispaniola,18.90282,71.30375
Jamaica,18.10509,77.29693
Klein Curacao,11.98982,68.64287
Les Saintes,15.85898,61.6103
Little Bahama,26.81516,78.06869
Little Cayman,19.6861,80.04101
Marie-Galante,15.93081,61.2653
Martinique,14.63494,60.99317
Mona,18.08908,67.89242
Montserrat,16.72038,62.19305
Navassa,18.40144,75.01122
Puerto Rico,18.20716,66.66449
Redonda,16.93756,62.34471
Saba,17.63138,63.23758
St. Croix,17.73593,64.78123
St. Eustatius,17.49121,62.97829
St. Lucia,13.89683,60.96538
St. Vincent,13.24114,61.19207
Tobago,11.24256,60.67257
Trinidad,10.4328,61.25568
NorthSA,10.53102,66.313477
