bank,country,past.native.sr,present.sr,insitu.pa,area.km2,isolation.1,isolation.2,isolation.3,isolation.all,isolation.sa,isolation.cuba,isolation.origins
Acklins,Bahamas,2,2,0,698,-1.648030017,-0.117356644,-0.324543486,1306.976791,39.63362553,22.14875956,61.78238509
Anguilla,Anguilla,2,5,0,115.255,0.966782295,0.373784105,-0.520937974,1070.022752,30.41586238,41.23033807,71.64620045
Antigua,Antigua,2,2,0,440.3,1.195105862,0.462526018,-0.495916609,1057.469018,29.59154251,43.17824546,72.76978797
Aruba,Aruba,1,2,0,190,0.466445812,-1.208433791,0.688458228,1194.789316,21.32897532,37.54605901,58.87503433
Barbados,Barbados,1,2,0,429.94,1.15345407,1.042969219,0.349843643,1206.415954,28.12584253,47.57002469,75.69586722
Bermuda,Bermuda,0,3,0,53.2,-1.294682623,4.495878363,0.994047026,1698.266173,49.27969151,42.49025448,91.769946
Blanquilla,Blanquilla,1,1,0,65,1.261485994,-1.474443211,0.974125456,1147.390199,15.41513395,43.40442362,58.81955757
Bonaire,Netherlands.Antilles,1,1,0,289,0.864717473,-1.728716594,0.873237739,1156.130034,16.73356196,39.52883927,56.26240123
Caicos,Turks.Caicos,1,1,0,430,-0.971709534,-0.071748562,-0.373385837,1241.629564,36.93670323,26.85949747,63.79620071
Cay Sal,Bahamas,2,2,0,14.87,-2.981086093,0.301643385,0.075164742,1503.82953,45.47743194,15.40001922,60.87745117
Cayman Brac,Cayman.Islands,1,2,0,33.67,-2.573710561,-0.238124804,-0.029099138,1424.229116,42.07403046,16.35486591,58.42889638
Cuba,Cuba,64,64,1,111463.24,-4.004170526,-2.099558115,-0.307465443,1417.119272,42.91548207,0,42.91548207
Curacao,Netherlands.Antilles,1,1,0,444,0.717941914,-1.513971267,0.7955786,1170.305741,18.55619467,38.82929972,57.38549439
Desecheo,Puerto.Rico,1,1,0,1.9425,0.413094561,-0.411446703,-0.452163426,1087.702431,29.70220193,35.34867183,65.05087376
Dominica,Dominica,1,2,0,789.95,1.33761912,0.341558901,-0.316161351,1062.463158,27.67697718,44.4807971,72.15777428
Grand Cayman,Cayman.Islands,1,2,0,183.89,-2.539466674,0.472194185,0.247880618,1496.300326,43.31711725,19.61032813,62.92744538
Great Bahama,Bahamas,4,5,0,8075.294,-2.557301031,0.076608762,-0.136945073,1424.874189,43.66123187,16.97918884,60.64042071
Grenada,Gre1da,2,3,0,383.026,1.28519598,0.027853332,0.485403682,1158.931291,23.12283982,46.09380374,69.21664356
Guadeloupe,Guadeloupe,4,4,1,1820.77,1.303126454,0.366637658,-0.450764502,1048.713757,28.5363927,43.8269181,72.3633108
Hispaniola,Hispaniola,42,44,1,73146.78,-0.471397973,-0.52436542,-0.33189344,1177.960298,32.77553621,29.23859095,62.01412716
Jamaica,Jamaica,6,7,1,11525.5,-1.802302876,-0.369968795,-0.03775253,1346.294366,38.0990078,21.37341552,59.47242332
Klein Curacao,Curacao,0,1,0,1.2,0.797992624,-1.634229284,0.879897896,1168.08205,17.36077676,39.35238181,56.71315857
Les Saintes,Guadeloupe,1,1,0,12.8,1.335494396,0.290939807,-0.415549334,1046.528759,27.9469206,43.96540173,71.91232233
Little Bahama,Bahamas,1,4,0,3205.933,-2.441347626,1.539505388,0.259298133,1545.642064,46.80120297,23.37859715,70.17980011
Little Cayman,Cayman.Islands,2,2,0,23.31,-2.573134506,-0.136877072,0.003855951,1434.009061,42.30036344,16.76522099,59.06558443
Marie-Galante,Guadeloupe,1,1,0,150.22,1.309919951,0.440409655,-0.386460182,1060.711426,28.49010714,44.31522426,72.80533139
Martinique,Martinique,1,1,0,1105.93,1.327010347,0.409236807,-0.127654183,1092.505224,27.12607613,45.27477168,72.40084781
Mona,Puerto.Rico,1,1,0,54.39,0.378187646,-0.518260245,-0.412129181,1090.601044,29.28197131,34.94279079,64.2247621
Montserrat,Guadeloupe,1,1,0,98.42,1.259570736,0.242834839,-0.529300804,1035.45987,28.62810762,42.88667678,71.51478439
Navassa,Bahamas,1,1,0,5.2,-1.317149116,-0.570568668,-0.183069877,1272.117809,35.79195401,23.69320102,59.48515502
Puerto Rico,Puerto.Rico,12,13,1,9357.342,0.565720844,-0.355750655,-0.455835026,1076.360172,29.22982839,36.56731909,65.79714747
Redonda,Redonda,1,1,0,1.295,1.228858287,0.241052281,-0.544834508,1036.042375,28.83188196,42.609921,71.44180296
Saba,Netherlands.Antilles,1,1,0,12.95,1.077206144,0.152151024,-0.560320515,1042.943014,29.26245263,41.234931,70.49738363
St. Croix,US.Virgin,1,1,0,214.66,0.884333373,-0.163169212,-0.479393739,1054.585774,28.60040201,39.27146271,67.87186472
St. Eustatius,Netherlands.Antilles,2,2,0,325.563,1.118283227,0.185825072,-0.562999988,1040.653812,29.21270201,41.61001786,70.82271987
St. Lucia,St. Lucia,1,4,0,603.47,1.327448456,0.37033396,0.024592572,1110.986096,26.29080799,45.71309788,72.00390587
St. Vincent,St. Vincent,2,3,1,344.47,1.324240826,0.244813913,0.172433686,1124.601812,25.16880305,45.86349494,71.03229799
Tobago,Trinidad.Tobago,0,2,0,300,1.160893767,0.611528346,0.695398535,1229.559115,24.91984551,47.63371438,72.55355989
Trinidad,Trinidad.Tobago,1,5,0,4769.01,1.115358998,0.44670402,0.915359641,1254.667576,23.51845396,47.63322378,71.15167774
